Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,fifty_data,120,0,570.0,595.5546816672722,311.6837999841664,1149.1724999796133,187465.74166666667,0.2006188357907493,0.0,580,670,720,730,840,960,1000,1100,1100,1100,1100
GET,fifty_page,128,0,590.0,609.2309343766829,353.02780001075007,1056.6288999980316,187582.3828125,0.21399342484346592,0.0,600,670,720,750,830,940,1000,1000,1100,1100,1100
GET,five_hundred_data,120,0,1000.0,1063.9443191646326,790.3103000135161,1635.130400012713,1771499.6333333333,0.2006188357907493,0.0,1000,1100,1200,1200,1300,1400,1500,1600,1600,1600,1600
GET,five_hundred_page,123,0,1000.0,1036.4535414650222,816.3206000172067,1421.800699987216,1771557.569105691,0.20563430668551802,0.0,1000,1100,1100,1100,1200,1300,1300,1400,1400,1400,1400
GET,hundred_data,111,0,680.0,714.657252250126,434.04299998655915,2069.180399994366,363350.8828828829,0.1855724231064431,0.0,680,740,810,850,960,1200,1300,1500,2100,2100,2100
GET,hundred_page,118,0,620.0,670.0900144065075,390.54930000565946,1335.054900002433,363546.9745762712,0.19727518852757014,0.0,630,690,750,830,930,1100,1100,1200,1300,1300,1300
GET,index_data,105,0,500.0,538.4274790454323,160.4634000104852,2816.7254000145476,21045.64761904762,0.17554148131690564,0.0,500,610,660,710,830,920,970,1000,2800,2800,2800
GET,index_page,106,0,460.0,477.090845285928,92.94030000455678,1062.4840000236873,21046.764150943396,0.17721330494849521,0.0,470,570,610,630,770,850,950,990,1100,1100,1100
GET,one_data,123,0,520.0,593.1298804880646,266.25079999212176,1899.1801000083797,29908.20325203252,0.20563430668551802,0.0,520,660,710,760,920,1000,1300,1800,1900,1900,1900
GET,one_page,103,0,550.0,569.3120728147971,222.1148000098765,1066.0156999947503,29592.155339805824,0.1721978340537265,0.0,550,680,710,730,810,890,1000,1100,1100,1100,1100
GET,ten_data,111,0,570.0,592.156931531389,245.2622999844607,1251.4089999895077,46479.24324324324,0.1855724231064431,0.0,570,660,710,740,890,980,1100,1100,1300,1300,1300
GET,ten_page,120,0,580.0,600.9957099985817,292.8766999975778,1105.8595999784302,46589.2,0.2006188357907493,0.0,580,680,760,810,890,940,1100,1100,1100,1100,1100
GET,thousand_data,115,0,1600.0,1674.6832460886292,1379.511100007221,3878.7406999908853,3533107.295652174,0.19225971763280142,0.0,1600,1700,1800,1800,1900,1900,2100,2500,3900,3900,3900
GET,thousand_page,127,0,1600.0,1642.8760354311798,1358.142199984286,2268.959700013511,3533310.4566929135,0.21232160121187635,0.0,1600,1700,1700,1800,1900,2000,2100,2200,2300,2300,2300
,Aggregated,1630,0,700.0,822.5682025151991,92.94030000455678,3878.7406999908853,881701.5828220859,2.7250725194910115,0.0,700,890,1000,1100,1600,1700,1800,1900,2800,3900,3900
