Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,fifty_data,6,0,660.0,761.2418166681891,524.1773000161629,1090.0753999885637,117877.5,0.5463599043275129,0.0,800,800,860,860,1100,1100,1100,1100,1100,1100,1100
GET,five_hundred_data,3,0,1482.6764999888837,1283.0477666672475,915.1424000156112,1482.6764999888837,1176089.3333333333,0.27317995216375646,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,hundred_data,2,0,630.0,685.5187499895692,628.2691999804229,742.7682999987155,233224.5,0.18211996810917097,0.0,740,740,740,740,740,740,740,740,740,740,740
GET,hundred_page,1,0,1242.1758999989834,1242.1758999989834,1242.1758999989834,1242.1758999989834,362615.0,0.09105998405458549,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,index_data,4,0,600.0,681.9618500012439,499.3583000032231,965.4605999821797,185.0,0.36423993621834194,0.0,660,660,970,970,970,970,970,970,970,970,970
GET,index_page,2,0,811.7341000179294,890.144250006415,811.7341000179294,968.5543999949005,21032.0,0.18211996810917097,0.0,970,970,970,970,970,970,970,970,970,970,970
GET,one_data,1,0,851.7563999921549,851.7563999921549,851.7563999921549,851.7563999921549,9213.0,0.09105998405458549,0.0,850,850,850,850,850,850,850,850,850,850,850
GET,ten_page,1,0,781.7331000114791,781.7331000114791,781.7331000114791,781.7331000114791,47004.0,0.09105998405458549,0.0,780,780,780,780,780,780,780,780,780,780,780
GET,thousand_data,2,0,1700.0,1880.7642000028864,1693.5902000113856,2067.938199994387,2360902.5,0.18211996810917097,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,thousand_page,1,0,2244.846799992956,2244.846799992956,2244.846799992956,2244.846799992956,3489948.0,0.09105998405458549,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
,Aggregated,23,0,850.0,1007.7307913047464,499.3583000032231,2244.846799992956,581537.8695652174,2.0943796332554663,0.0,850,970,1200,1500,1700,2100,2200,2200,2200,2200,2200
