Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,fifty_data,91,0,820.0,823.1313692307954,542.5256000016816,2849.4011999864597,118892.43956043955,0.15178450494426782,0.0,820,850,880,880,960,1300,1600,2800,2800,2800,2800
GET,fifty_page,93,0,900.0,1006.4134516087311,610.4776999854948,4748.59249999281,187232.72043010753,0.15512042812985613,0.0,900,950,1000,1000,1200,1400,3400,4700,4700,4700,4700
GET,five_hundred_data,100,0,1600.0,1766.8357359984657,1082.9756000021007,6225.322699989192,1188313.82,0.16679615927941518,0.0,1600,1700,1900,2000,2600,3000,4000,6200,6200,6200,6200
GET,five_hundred_page,96,0,1800.0,2019.0156333337654,1363.0856999952812,3774.3466999963857,1772100.09375,0.1601243129082386,0.0,1800,2000,2200,2400,2700,3100,3700,3800,3800,3800,3800
GET,hundred_data,87,0,900.0,1007.3139724136336,585.9017999900971,3895.6888999964576,237662.98850574714,0.14511265857309122,0.0,900,940,1000,1000,1500,2000,3600,3900,3900,3900,3900
GET,hundred_page,104,0,1100.0,1136.7988721159725,675.8082000014838,2312.4191000242718,363799.3461538461,0.1734680056505918,0.0,1100,1100,1300,1400,1600,1800,1900,2100,2300,2300,2300
GET,index_data,105,0,600.0,650.8405600006448,322.46199998189695,1491.6815999895334,202.78095238095239,0.17513596724338595,0.0,600,700,780,800,890,1100,1200,1500,1500,1500,1500
GET,index_page,98,0,650.0,665.1299551024805,300.52790002082475,1490.3494000027422,21049.30612244898,0.1634602360938269,0.0,650,730,750,780,940,1100,1200,1500,1500,1500,1500
GET,one_data,74,0,610.0,626.3955513517234,466.8709000106901,1246.0871000075713,8251.716216216217,0.12342915786676724,0.0,610,640,660,670,750,850,1200,1200,1200,1200,1200
GET,one_page,120,0,710.0,762.9771733314556,461.503200000152,1476.9189999788068,29181.416666666668,0.20015539113529823,0.0,710,790,830,880,1000,1300,1500,1500,1500,1500,1500
GET,ten_data,97,0,620.0,643.7826567007224,495.04339997656643,1191.0711999807972,23767.938144329895,0.16179227450103273,0.0,620,660,690,720,790,920,1100,1200,1200,1200,1200
GET,ten_page,85,0,750.0,811.2528282351217,532.4600000167266,1608.1502999877557,46524.67058823529,0.1417767353875029,0.0,750,840,910,950,1100,1200,1500,1600,1600,1600,1600
GET,thousand_data,85,0,2200.0,2478.653612941065,1477.7959999919403,4415.443399979267,2376305.2705882355,0.1417767353875029,0.0,2200,2800,3000,3200,3700,4100,4300,4400,4400,4400,4400
GET,thousand_page,92,0,2900.0,3166.660908695042,2019.576999999117,5365.642299992032,3532315.25,0.153452466537062,0.0,3000,3400,3800,4000,4500,4700,5100,5400,5400,5400,5400
,Aggregated,1327,0,880.0,1243.2005825918257,300.52790002082475,6225.322699989192,689609.8093443859,2.21338503363784,0.0,880,1200,1600,1800,2500,3200,4000,4400,5400,6200,6200
