Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,fifty_data,97,0,810.0,870.1468309283752,627.0130000193603,1644.9426999897696,118788.01030927835,0.16184824647854837,0.0,810,920,1000,1000,1200,1300,1400,1600,1600,1600,1600
GET,fifty_page,95,0,1000.0,1055.2435494754095,648.7943999818526,1734.1638999932911,187450.82105263157,0.158511169231568,0.0,1000,1100,1200,1300,1400,1500,1600,1700,1700,1700,1700
GET,five_hundred_data,86,27,1400.0,1505.5579523258805,1083.666099992115,2555.759400012903,816145.7093023256,0.1434943216201563,0.04505054283423512,1500,1600,1600,1700,1900,2200,2300,2600,2600,2600,2600
GET,five_hundred_page,101,54,1700.0,1649.0578207923306,1054.3216000078246,2492.156199994497,827193.8118811881,0.16852240097250915,0.09010108566847023,1700,1700,1800,1900,2000,2200,2400,2400,2500,2500,2500
GET,hundred_data,75,0,1000.0,1039.547237335937,659.910900023533,1756.5158999932464,237751.09333333332,0.12514039676176422,0.0,1000,1100,1200,1300,1400,1600,1600,1800,1800,1800,1800
GET,hundred_page,112,4,1100.0,1147.0067571434422,707.9356999893207,2004.8196999996435,351005.1964285714,0.18687632583090122,0.0066741544939607576,1100,1200,1300,1400,1500,1600,1700,1800,2000,2000,2000
GET,index_data,92,1,750.0,773.8168434791631,448.55920001282357,1742.4080000200775,204.32608695652175,0.15350555336109742,0.0016685386234901894,750,830,900,920,1000,1200,1300,1700,1700,1700,1700
GET,index_page,100,0,770.0,799.4948999999906,376.7268000228796,1369.558300008066,21025.76,0.16685386234901894,0.0,770,900,940,990,1100,1200,1400,1400,1400,1400,1400
GET,one_data,103,0,720.0,770.8265941753391,555.0388999981806,1534.462400013581,8667.320388349515,0.17185947821948952,0.0,720,770,850,870,1000,1100,1300,1400,1500,1500,1500
GET,one_page,118,0,970.0,978.194276270727,566.8781000131276,1676.3932000030763,29869.449152542373,0.19688755757184234,0.0,980,1000,1100,1200,1300,1400,1600,1600,1700,1700,1700
GET,ten_data,100,0,770.0,829.0250879983068,577.6168000011239,2061.518500006059,23743.77,0.16685386234901894,0.0,770,850,940,960,1100,1400,1600,2100,2100,2100,2100
GET,ten_page,94,0,890.0,970.6724000001138,644.0806000027806,2095.1052000164054,46623.14893617021,0.15684263060807782,0.0,890,980,1100,1200,1300,1500,1600,2100,2100,2100,2100
GET,thousand_data,97,42,1800.0,1857.687789692061,1415.5398999864701,2871.1084999958985,1349331.2164948455,0.16184824647854837,0.07007862218658796,1800,1900,2000,2100,2200,2400,2800,2900,2900,2900,2900
GET,thousand_page,103,66,2100.0,2092.599691263088,318.8660000159871,3476.5939000062644,1272131.6116504855,0.17185947821948952,0.11012354915035251,2100,2100,2300,2400,2600,2900,3100,3100,3500,3500,3500
,Aggregated,1373,194,1000.0,1167.4857281869522,318.8660000159871,3476.5939000062644,375396.6678805535,2.29090353005203,0.32369649295709674,1000,1300,1500,1600,1900,2100,2400,2600,3100,3500,3500
