Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1660595051,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1660595052,1,,Aggregated,0.000000,0.000000,320,320,320,320,320,320,320,320,320,320,320,1,1,318.8660000159871,318.8660000159871,318.8660000159871,318.8660000159871,1290.0
1660595053,3,,Aggregated,0.000000,0.000000,320,320,320,320,320,320,320,320,320,320,320,1,1,318.8660000159871,318.8660000159871,318.8660000159871,318.8660000159871,1290.0
1660595054,4,,Aggregated,0.000000,0.000000,1200,1200,1400,1400,1400,1400,1400,1400,1400,1400,1400,3,2,1200.0,948.5494000061104,318.8660000159871,1353.5409000178333,79622.33333333333
1660595055,5,,Aggregated,0.000000,0.000000,1200,1200,1400,1400,1400,1400,1400,1400,1400,1400,1400,3,2,1200.0,948.5494000061104,318.8660000159871,1353.5409000178333,79622.33333333333
1660595056,5,,Aggregated,0.333333,0.333333,1400,1700,1700,2200,2200,2200,2200,2200,2200,2200,2200,5,2,1400.0,1355.520400009118,318.8660000159871,2189.5458000071812,285837.6
1660595057,5,,Aggregated,0.750000,0.500000,1700,2100,2100,2100,2200,2200,2200,2200,2200,2200,2200,8,2,1400.0,1531.0008500091499,318.8660000159871,2189.5458000071812,202259.125
1660595058,5,,Aggregated,0.750000,0.500000,1400,1700,2100,2100,2200,2200,2200,2200,2200,2200,2200,9,2,1400.0,1454.5138111215138,318.8660000159871,2189.5458000071812,180086.33333333334
1660595059,5,,Aggregated,0.833333,0.333333,1400,1600,2100,2100,2100,2200,2200,2200,2200,2200,2200,12,2,1400.0,1443.8330916746054,318.8660000159871,2189.5458000071812,205481.58333333334
1660595060,5,,Aggregated,1.285714,0.285714,1400,1700,2100,2100,2200,2400,2400,2400,2400,2400,2400,13,2,1400.0,1516.0044384694909,318.8660000159871,2382.060600008117,372824.0
