Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,fifty_data,109,0,760.0,837.5556348633969,545.7901999761816,6913.064399996074,118879.6880733945,0.18189635966118545,0.0,760,820,870,890,990,1100,1300,3600,6900,6900,6900
GET,fifty_page,95,0,900.0,915.008148422624,608.3552000054624,2036.1381999973673,187663.92631578946,0.1585335244753451,0.0,900,940,960,1000,1100,1300,1500,2000,2000,2000,2000
GET,five_hundred_data,115,0,1500.0,1481.1900434795382,1091.3361000129953,4822.214700019686,1187857.104347826,0.19190900331225988,0.0,1500,1600,1600,1600,1700,1800,2200,2500,4800,4800,4800
GET,five_hundred_page,100,0,1800.0,1782.1882330009248,1311.7410999839194,2949.4544000190217,1772062.14,0.1668773941845738,0.0,1800,1800,1900,1900,2100,2200,2600,2900,2900,2900,2900
GET,hundred_data,88,0,870.0,866.2921625026767,579.4298000109848,1367.3848000180442,237935.5,0.14685210688242495,0.0,870,940,970,990,1100,1100,1300,1400,1400,1400,1400
GET,hundred_page,109,0,1000.0,1043.6657311895717,687.6988000003621,1541.6006000014022,363915.8532110092,0.18189635966118545,0.0,1000,1100,1100,1200,1300,1400,1500,1500,1500,1500,1500
GET,index_data,103,0,600.0,612.8604854355358,286.3417000044137,953.172400011681,201.7864077669903,0.17188371601011102,0.0,600,690,740,790,820,850,890,920,950,950,950
GET,index_page,105,0,630.0,629.4449857128451,354.610699985642,920.2357999747619,21043.219047619048,0.1752212638938025,0.0,630,710,750,780,830,860,910,910,920,920,920
GET,one_data,102,0,590.0,608.1636666654673,461.78230000077747,901.3713999884203,8678.519607843138,0.1702149420682653,0.0,590,620,650,670,750,800,870,890,900,900,900
GET,one_page,105,0,710.0,738.9026571433836,496.82110000867397,1679.093999991892,28580.590476190475,0.1752212638938025,0.0,710,770,790,850,940,970,1000,1100,1700,1700,1700
GET,ten_data,101,0,590.0,607.520132673683,499.4848000060301,959.8802999826148,23795.673267326732,0.16854616812641954,0.0,590,640,660,690,710,740,820,880,960,960,960
GET,ten_page,96,0,780.0,787.2816468737559,516.5909000206739,1484.4157999905292,46523.895833333336,0.16020229841719086,0.0,780,810,870,900,990,1000,1100,1500,1500,1500,1500
GET,thousand_data,106,0,2000.0,2087.768353773325,1540.1362999982666,4981.361700018169,2376554.5754716983,0.17689003783564822,0.0,2000,2100,2100,2200,2400,2800,4400,4800,5000,5000,5000
GET,thousand_page,84,0,2500.0,2566.8629464309474,1971.738699998241,5716.83399999165,3533105.1071428573,0.140177011115042,0.0,2500,2600,2700,2700,2900,3000,3500,5700,5700,5700,5700
,Aggregated,1418,0,850.0,1099.7606647391638,286.3417000044137,6913.064399996074,681863.6502115655,2.3663214495372564,0.0,850,1100,1400,1600,2000,2400,2700,3000,5700,6900,6900
