Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,fifty_data,82,0,850.0,904.2853768286722,626.4279000170063,2645.4496999795083,118703.30487804877,0.13694895550528488,0.0,860,930,1000,1100,1100,1300,1600,2600,2600,2600,2600
GET,fifty_page,83,0,1000.0,1103.094987953797,659.0066000062507,3727.301700011594,187171.578313253,0.13861906471876395,0.0,1000,1100,1200,1300,1500,1700,2600,3700,3700,3700,3700
GET,five_hundred_data,90,2,1400.0,1544.0197266654448,1036.0294999845792,4338.3946000249125,1162336.0777777778,0.15030982921311756,0.003340218426958168,1400,1600,1700,1800,2100,2400,3400,4300,4300,4300,4300
GET,five_hundred_page,91,6,1600.0,2309.4877988994913,1089.0076000068802,61624.9524000159,1655855.857142857,0.15197993842659663,0.010020655280874504,1600,1700,1800,1900,2100,2400,4400,62000,62000,62000,62000
GET,hundred_data,77,0,920.0,999.6528038989402,670.828900008928,3485.6024000036996,237801.03896103895,0.12859840943788944,0.0,920,1000,1100,1200,1300,1500,1600,3500,3500,3500,3500
GET,hundred_page,99,2,1200.0,1210.2255464650248,688.3352999866474,4151.503299974138,356220.9898989899,0.1653408121344293,0.003340218426958168,1200,1300,1300,1400,1600,1900,3100,4200,4200,4200,4200
GET,index_data,87,0,750.0,785.0621298856059,426.0424999811221,2833.714400010649,201.45977011494253,0.1452995015726803,0.0,750,830,880,920,1000,1200,1400,2800,2800,2800,2800
GET,index_page,76,0,730.0,780.2862973679255,425.16230000182986,2567.1424999891315,21038.894736842107,0.12692830022441037,0.0,730,820,880,910,1000,1200,1400,2600,2600,2600,2600
GET,one_data,103,0,710.0,1954.1215786407477,542.9829999920912,60294.221799995285,8844.669902912621,0.17202124898834564,0.0,710,770,840,860,1100,1400,3200,60000,60000,60000,60000
GET,one_page,76,1,920.0,972.8528934195454,544.3539999832865,1883.6418999999296,30009.355263157893,0.12692830022441037,0.001670109213479084,920,1000,1100,1200,1300,1500,1600,1900,1900,1900,1900
GET,ten_data,86,0,700.0,1467.3885895354879,565.7300000020768,61213.32489998895,23830.918604651164,0.14362939235920122,0.0,700,750,820,910,1000,1200,1500,61000,61000,61000,61000
GET,ten_page,95,1,910.0,1615.654333683319,608.4065000177361,60595.40910000214,46191.8,0.15866037528051297,0.001670109213479084,910,1000,1100,1200,1400,1800,3300,61000,61000,61000,61000
GET,thousand_data,94,5,1800.0,1896.6967968101133,1341.0259000083897,3712.172500003362,2250708.212765957,0.1569902660670339,0.00835054606739542,1800,2000,2100,2200,2400,2500,3100,3700,3700,3700,3700
GET,thousand_page,82,13,2200.0,2243.439860975586,1549.1047000105027,3475.0760000024457,2974871.1585365855,0.13694895550528488,0.02171141977522809,2200,2400,2500,2600,3000,3000,3300,3500,3500,3500,3500
,Aggregated,1221,30,1000.0,1438.465765192567,425.16230000182986,61624.9524000159,655929.9606879607,2.0392033496579614,0.05010327640437252,1000,1300,1500,1600,2000,2400,3000,3400,61000,62000,62000
