Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1660594362,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1660594363,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1660594364,3,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1660594365,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1660594366,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1660594367,5,,Aggregated,0.000000,0.000000,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,2,0,3500.0,3818.5528499889188,3485.6024000036996,4151.503299974138,301577.5
1660594368,5,,Aggregated,0.000000,0.000000,3500,3500,4200,4200,4200,4200,4200,4200,4200,4200,4200,4,0,3100.0,3323.7354749944643,2567.1424999891315,4151.503299974138,246872.75
1660594369,5,,Aggregated,0.000000,0.000000,3500,3500,4200,4200,4200,4200,4200,4200,4200,4200,4200,4,0,3100.0,3323.7354749944643,2567.1424999891315,4151.503299974138,246872.75
1660594370,5,,Aggregated,0.666667,0.000000,3100,3400,3500,3500,4200,4200,4200,4200,4200,4200,4200,7,0,3100.0,2957.8787142859906,1471.8630000133999,4151.503299974138,684792.2857142857
1660594371,5,,Aggregated,0.666667,0.000000,3100,3400,3500,3500,4200,4200,4200,4200,4200,4200,4200,8,0,2800.0,2937.715175001358,1471.8630000133999,4151.503299974138,896872.875
1660594372,5,,Aggregated,0.750000,0.000000,2600,2800,3400,3400,3500,4200,4200,4200,4200,4200,4200,12,0,2600.0,2460.081966666621,978.8226000091527,4151.503299974138,924958.0833333334
1660594373,5,,Aggregated,0.888889,0.000000,2600,2800,3100,3400,3500,4200,4200,4200,4200,4200,4200,13,0,2600.0,2400.215446154247,978.8226000091527,4151.503299974138,945742.2307692308
1660594374,5,,Aggregated,0.888889,0.000000,2500,2600,3100,3400,3500,4200,4200,4200,4200,4200,4200,15,0,2500.0,2204.3851999992817,828.4186999953818,4151.503299974138,844138.6666666666
1660594375,5,,Aggregated,1.200000,0.000000,2300,2600,2800,3100,3500,4200,4200,4200,4200,4200,4200,18,0,1900.0,2124.666361110738,828.4186999953818,4151.503299974138,968205.3888888889
1660594376,5,,Aggregated,1.200000,0.000000,1900,2600,2800,3100,3500,4200,4200,4200,4200,4200,4200,20,0,1700.0,2004.0491149993613,786.4205999940168,4151.503299974138,884403.05
1660594377,5,,Aggregated,1.500000,0.000000,1500,2500,2600,2800,3400,3500,4200,4200,4200,4200,4200,23,0,1500.0,1838.4153956506887,426.0424999811221,4151.503299974138,770302.304347826
1660594378,5,,Aggregated,2.000000,0.000000,1600,2300,2600,2800,3400,3500,4200,4200,4200,4200,4200,24,0,1500.0,1829.2290499981998,426.0424999811221,4151.503299974138,746014.125
1660594379,5,,Aggregated,2.000000,0.000000,1500,2200,2600,2600,3400,3500,4200,4200,4200,4200,4200,27,0,1500.0,1772.6270148133929,426.0424999811221,4151.503299974138,735865.3703703703
1660594380,5,,Aggregated,2.000000,0.000000,1500,2200,2600,2600,3400,3500,4200,4200,4200,4200,4200,27,0,1500.0,1772.6270148133929,426.0424999811221,4151.503299974138,735865.3703703703
1660594381,5,,Aggregated,2.300000,0.000000,1300,2200,2500,2600,3100,3500,4200,4200,4200,4200,4200,31,0,1300.0,1735.7369193548127,426.0424999811221,4151.503299974138,768424.9677419355
1660594382,5,,Aggregated,2.100000,0.000000,1500,2200,2500,2600,3100,3500,4200,4200,4200,4200,4200,32,0,1300.0,1751.0456281252118,426.0424999811221,4151.503299974138,818724.125
1660594383,5,,Aggregated,2.200000,0.000000,1300,2200,2400,2600,3100,3500,4200,4200,4200,4200,4200,35,0,1300.0,1696.772105714938,426.0424999811221,4151.503299974138,790280.0
1660594384,5,,Aggregated,2.100000,0.000000,1300,2200,2300,2500,3100,3500,4200,4200,4200,4200,4200,37,0,1300.0,1679.924508109154,426.0424999811221,4151.503299974138,812499.3243243244
